"","slug_region","label_region","label","indicador","count"
"1","almeida","Almeida","Almeida","especies_endemicas",2
"2","aquitania","Aquitania","Aquitania","especies_endemicas",70
"3","arcabuco","Arcabuco","Arcabuco","especies_endemicas",130
"4","belen-boy","Belén","Belén","especies_endemicas",65
"5","berbeo","Berbeo","Berbeo","especies_endemicas",0
"6","beteitiva","Betéitiva","Betéitiva","especies_endemicas",0
"7","boavita","Boavita","Boavita","especies_endemicas",8
"8","boyaca-boy","Boyacá","Boyacá","especies_endemicas",10
"9","briceno-boy","Briceño","Briceño","especies_endemicas",2
"10","buenavista-boy","Buenavista","Buenavista","especies_endemicas",0
